Bookmark,Frame#,Type,Opcode,Opcode Command,Event,Name,LMP Version,Manufacturer Name,HCI Version,LMP Subversion,Status,Handle,Credits,PBF,Length,Frame Size,Delta,Timestamp,
,1372,Command,0x0c1a,Write_Scan_Enable,,,,,,,,,,,1,5,=" 00:00:00.001042",="6/19/2014 2:59:25.883345 PM",
,1373,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.000953",="6/19/2014 2:59:25.884298 PM",
,1374,Event,0x0c1a,Write_Scan_Enable,Command Complete,,,,,,Success,,,,4,7,=" 00:00:00.001346",="6/19/2014 2:59:25.885644 PM",
,1375,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.010465",="6/19/2014 2:59:25.896109 PM",
,1376,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.010371",="6/19/2014 2:59:25.906480 PM",
,1377,Command,0x2008,HCI_LE_Set_Advertising_Data,,,,,,,,,,,32,36,=" 00:00:00.007084",="6/19/2014 2:59:25.913564 PM",
,1378,Event,0x2008,HCI_LE_Set_Advertising_Data,Command Complete,,,,,,Success,,,,4,7,=" 00:00:00.001134",="6/19/2014 2:59:25.914698 PM",
,1379,Command,0x0c3a,Write_Current_IAC_LAP,,,,,,,,,,,4,8,=" 00:00:00.001180",="6/19/2014 2:59:25.915878 PM",
,1380,Event,0x0c3a,Write_Current_IAC_LAP,Command Complete,,,,,,Success,,,,4,7,=" 00:00:00.003084",="6/19/2014 2:59:25.918962 PM",
,1381,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.001207",="6/19/2014 2:59:25.920169 PM",
,1382,Command,0x0c1a,Write_Scan_Enable,,,,,,,,,,,1,5,=" 00:00:00.001243",="6/19/2014 2:59:25.921412 PM",
,1383,Event,0x0c1a,Write_Scan_Enable,Command Complete,,,,,,Success,,,,4,7,=" 00:00:00.001220",="6/19/2014 2:59:25.922632 PM",
,1384,Command,0x0c1a,Write_Scan_Enable,,,,,,,,,,,1,5,=" 00:00:00.001300",="6/19/2014 2:59:25.923932 PM",
,1385,Event,0x0c1a,Write_Scan_Enable,Command Complete,,,,,,Success,,,,4,7,=" 00:00:00.001269",="6/19/2014 2:59:25.925201 PM",
,1386,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.003672",="6/19/2014 2:59:25.928873 PM",
