Bookmark,Frame#,Role,Addr.,ctype,Response,Error code,OpCode,Operation ID,State_flag,PDU ID,Pkt type,Cap Id,Frame Size,Delta,Timestamp,
,45373,CT,1,STATUS,,,VENDOR-DEPENDENT,,,Get Element Attribute,Non-Fragmented,,66,=" 00:00:00.009373",="6/25/2014 11:22:15.037565 AM",
,45375,TG,1,,IMPLEMENTED/STABLE,,VENDOR-DEPENDENT,,,Get Element Attribute,Non-Fragmented,,180,=" 00:00:00.015627",="6/25/2014 11:22:15.053192 AM",
,45376,CT,1,NOTIFY,,,VENDOR-DEPENDENT,,,Register Notification,Non-Fragmented,,34,=" 00:00:00.008123",="6/25/2014 11:22:15.061315 AM",
,45378,TG,1,,INTERIM,,VENDOR-DEPENDENT,,,Register Notification,Non-Fragmented,,38,=" 00:00:00.008127",="6/25/2014 11:22:15.069442 AM",
,45528,CT,1,CONTROL,,,PASS THROUGH,play,Button Pushed,,,,24,=" 00:00:03.076886",="6/25/2014 11:22:18.146328 AM",
,45529,TG,1,,ACCEPTED,,PASS THROUGH,play,Button Pushed,,,,24,=" 00:00:00.024376",="6/25/2014 11:22:18.170704 AM",
,45530,CT,1,CONTROL,,,PASS THROUGH,play,Button Released,,,,24,=" 00:00:00.008124",="6/25/2014 11:22:18.178828 AM",
,45531,TG,1,,ACCEPTED,,PASS THROUGH,play,Button Released,,,,24,=" 00:00:00.001877",="6/25/2014 11:22:18.180705 AM",
,45538,TG,1,,CHANGED,,VENDOR-DEPENDENT,,,Register Notification,Non-Fragmented,,31,=" 00:00:00.155000",="6/25/2014 11:22:18.335705 AM",
,45539,TG,1,,CHANGED,,VENDOR-DEPENDENT,,,Register Notification,Non-Fragmented,,38,=" 00:00:00.001250",="6/25/2014 11:22:18.336955 AM",
,45543,CT,1,STATUS,,,VENDOR-DEPENDENT,,,Get Element Attribute,Non-Fragmented,,66,=" 00:00:00.066874",="6/25/2014 11:22:18.403829 AM",
,45544,TG,1,,IMPLEMENTED/STABLE,,VENDOR-DEPENDENT,,,Get Element Attribute,Non-Fragmented,,180,=" 00:00:00.011876",="6/25/2014 11:22:18.415705 AM",
,45546,CT,1,NOTIFY,,,VENDOR-DEPENDENT,,,Register Notification,Non-Fragmented,,34,=" 00:00:00.006874",="6/25/2014 11:22:18.422579 AM",
,45547,TG,1,,INTERIM,,VENDOR-DEPENDENT,,,Register Notification,Non-Fragmented,,31,=" 00:00:00.014376",="6/25/2014 11:22:18.436955 AM",
,45549,CT,1,STATUS,,,VENDOR-DEPENDENT,,,Get Element Attribute,Non-Fragmented,,66,=" 00:00:00.006874",="6/25/2014 11:22:18.443829 AM",
,45550,TG,1,,IMPLEMENTED/STABLE,,VENDOR-DEPENDENT,,,Get Element Attribute,Non-Fragmented,,180,=" 00:00:00.004377",="6/25/2014 11:22:18.448206 AM",
,45552,CT,1,NOTIFY,,,VENDOR-DEPENDENT,,,Register Notification,Non-Fragmented,,34,=" 00:00:00.006873",="6/25/2014 11:22:18.455079 AM",
,45553,TG,1,,INTERIM,,VENDOR-DEPENDENT,,,Register Notification,Non-Fragmented,,38,=" 00:00:00.004377",="6/25/2014 11:22:18.459456 AM",
,46960,CT,1,CONTROL,,,PASS THROUGH,pause,Button Pushed,,,,24,=" 00:00:27.635736",="6/25/2014 11:22:46.095192 AM",
,46963,TG,1,,ACCEPTED,,PASS THROUGH,pause,Button Pushed,,,,24,=" 00:00:00.008127",="6/25/2014 11:22:46.103319 AM",
,46967,CT,1,CONTROL,,,PASS THROUGH,pause,Button Released,,,,24,=" 00:00:00.019373",="6/25/2014 11:22:46.122692 AM",
,46970,TG,1,,ACCEPTED,,PASS THROUGH,pause,Button Released,,,,24,=" 00:00:00.003126",="6/25/2014 11:22:46.125818 AM",
